# NES ROM information (CSV format)
# Fields: rom_id, name, country, crc, hardware, rom_class, mapper, submapper, nametable_layout, prg_rom_size, prg_rom_crc, prg_nvram_size, prg_ram_size, chr_rom_size, chr_rom_crc, chr_nvram_size, chr_ram_size, battery, vs_hardware_type, vs_ppu_type, expansion_type
# Each line is a single ROM entry. Empty fields are left blank.
1,10-Yard Fight,,836C4FA7,2,Licensed Japan,0,0,H,16384,D3D248C9,0,0,8192,9C124A53,0,0,0,,,1
2,10-Yard Fight,,44D21F83,2,Licensed Japan,0,0,H,16384,B7E8DECA,0,0,8192,9C124A53,0,0,0,,,1
3,,,73E41AC7,2,Licensed Japan,1,0,H,262144,73E41AC7,0,0,0,,0,8192,0,,,1
4,1942,,171251E3,2,Licensed Japan,0,0,H,32768,C4E8C04A,0,0,8192,03379B76,0,0,0,,,1
5,1943: The Battle of Valhalla,,4E42F13A,2,Licensed Japan,2,2,H,131072,4E42F13A,0,0,0,,0,8192,0,,,1
6,,,29EC0FD1,2,Licensed Japan,4,0,H,262144,3C5AE54B,0,0,131072,04BA2BE3,0,0,0,,,1
7,4-nin Uchi Mahjong,,D91104F1,2,Licensed Japan,0,0,V,16384,49546B4D,0,0,8192,425CC61F,0,0,0,,,1
8,4-nin Uchi Mahjong,,84BE00E9,2,Licensed Japan,0,0,V,16384,3ED8C6B5,0,0,8192,425CC61F,0,0,0,,,1
9,8 Eyes,,F8D53171,2,Licensed Japan,4,0,H,131072,AF5AD5AF,0,0,131072,E48AA3B1,0,0,0,,,1
10,ASO: Armored Scrum Object,,E3E2C3BF,2,Licensed Japan,3,2,H,32768,72C39B9E,0,0,32768,A2F0D57C,0,0,0,,,1
11,,,14CD576E,2,Licensed Japan,1,0,H,131072,E675BA2A,0,0,131072,F1569DF0,0,0,0,,,1
12,,,7C27AB86,2,Licensed Japan,4,0,H,262144,37F49572,0,0,262144,FDBDAB62,0,0,0,,,1
13,Advanced Dungeons & Dragons Dragons of Flame,,E616FF0A,2,Licensed Japan,1,0,H,131072,1E0C7EA3,8192,0,131072,EA637671,0,0,1,,,1
14,Advanced Dungeons & Dragons Heroes of the Lance,,1E472E7A,2,Licensed Japan,1,0,H,131072,929C7B2F,8192,0,131072,32876B98,0,0,1,,,1
15,Advanced Dungeons & Dragons Hillsfar,,2C33161D,2,Licensed Japan,1,0,H,262144,2C33161D,8192,0,0,,0,8192,1,,,1
16,Advanced Dungeons & Dragons Pool of Radiance,,CA730971,2,Licensed Japan,4,0,H,524288,A6819195,8192,0,131072,A750F6D9,0,0,1,,,1
17,Adventures of Lolo II,,EAB93CFB,2,Licensed Japan,1,0,H,131072,B1849D4E,0,0,131072,B114C6BD,0,0,0,,,1
18,Adventures of Lolo,,297198B9,2,Licensed Japan,4,0,H,32768,F4FB65DD,0,0,32768,E6E04F55,0,0,0,,,1
19,After Burner,,F2CE3641,2,Licensed Japan,68,0,H,131072,88F202F0,0,0,262144,A75CB06D,0,0,0,,,1
20,Aigiina no Yogen: From the Legend of Balubalouk,,37F59450,2,Licensed Japan,2,2,V,131072,37F59450,0,0,0,,0,8192,0,,,1
21,Airwolf,,FB8A9B80,2,Licensed Japan,1,0,H,131072,5CB41FED,0,0,131072,69CE0950,0,0,0,,,1
22,,,5B837E8D,2,Licensed Japan,1,0,H,131072,E77268EC,0,0,131072,72670B66,0,0,0,,,1
23,America Daitouryou Senkyo,,9273F18E,2,Licensed Japan,1,0,H,131072,7831B2FF,8192,0,131072,719D68D2,0,0,1,,,1
24,America Oudan Ultra Quiz: Shijou Saidai no Tatakai,,3256114C,2,Licensed Japan,4,0,H,524288,3256114C,0,0,0,,0,8192,0,,,1
25,,,C7ED0348,2,Licensed Japan,4,0,H,524288,C7ED0348,0,0,0,,0,8192,0,,,1
26,American Dream,,3FFA5762,2,Licensed Japan,1,0,H,131072,FAF802D1,0,0,131072,CC95B82C,0,0,0,,,1
27,Antarctic Adventure,,163ECCAE,2,Licensed Japan,0,0,H,16384,DF189D34,0,0,8192,E03540CD,0,0,0,,,1
28,Antarctic Adventure,,0C918A65,2,Licensed Japan,0,0,H,16384,96900967,0,0,8192,077FED33,0,0,0,,,1
29,Arabian Dream Scheherazade,,074EC424,2,Licensed Japan,1,0,H,131072,A3D59F62,0,0,131072,2749E765,0,0,0,,,1
30,,,1F74EA6C,2,Licensed Japan,2,2,H,131072,1F74EA6C,0,0,0,,0,8192,0,,,1
31,Argos no Senshi: Hachamecha Daishingeki,,E1B260DA,2,Licensed Japan,2,2,V,131072,E1B260DA,0,0,0,,0,8192,0,,,1
32,Argus,,656FA3B5,2,Licensed Japan,87,0,V,32768,C9C2A1EC,0,0,16384,BE773669,0,0,0,,,1
33,Arkanoid II,,0F141525,2,Licensed Japan,152,0,H,65536,6267FBD1,0,0,131072,7D66D22D,0,0,0,,,17
34,Arkanoid,,D89E5A67,2,Licensed Japan,3,2,H,32768,35893B67,0,0,16384,C5789B20,0,0,0,,,16
35,Armadillo,,78B657AC,2,Licensed Japan,118,0,H,262144,CF3B904C,0,0,131072,1AB62D42,0,0,0,,,34
36,Artelius,,093E845F,2,Licensed Japan,1,0,H,131072,EBAC24E9,8192,0,32768,07F2131B,0,0,1,,,1
37,,,15141401,2,Licensed Japan,4,0,H,131072,336E2A6F,0,0,131072,9F81451C,0,0,0,,,1
38,Astro Fang: Super Machine,,E949EF8A,2,Licensed Japan,4,0,H,131072,C701A262,0,0,131072,93D787AC,0,0,0,,,1
39,Astro Robo SASA,,2DC05A6F,2,Licensed Japan,0,0,V,32768,C6ACCEEA,0,0,8192,3D4B2A68,0,0,0,,,1
40,Athena,,8BCDE59A,2,Licensed Japan,2,2,V,131072,8BCDE59A,0,0,0,,0,8192,0,,,1
41,Atlantis no Nazo,,F808AF60,2,Licensed Japan,184,0,V,32768,7AF3AFB7,0,0,16384,33D76D26,0,0,0,,,1
42,Attack Animal Gakuen,,7D55CF29,2,Licensed Japan,2,2,V,131072,7D55CF29,0,0,0,,0,8192,0,,,29
43,,,6377CB75,2,Licensed Japan,1,0,H,131072,30CA59C8,8192,8192,16384,DDA12121,0,0,1,,,1
44,B-Wings,,74F0A89F,2,Licensed Japan,185,7,H,32768,725D5CC4,0,0,8192,456DF683,0,0,0,,,1
45,Babel no Tou,,8AF25130,2,Licensed Japan,206,0,H,32768,899A0067,0,0,32768,134FC0C6,0,0,0,,,1
46,Ballblazer,,484A60DB,2,Licensed Japan,2,2,V,131072,484A60DB,0,0,0,,0,8192,0,,,1
47,Balloon Fight,,2B462010,2,Licensed Japan,0,0,H,16384,575ED2FE,0,0,8192,C642A1DF,0,0,0,,,1
48,Baltron,,1F2D9DB7,2,Licensed Japan,0,0,V,32768,16342AD0,0,0,8192,6AE75F9B,0,0,0,,,1
49,Banana,,86ACB36B,2,Licensed Japan,3,2,V,32768,9CF17FAB,0,0,16384,940018F3,0,0,0,,,1
50,,,66ED9C00,2,Licensed Japan,4,0,H,131072,B548FD2E,0,0,131072,5354303A,0,0,0,,,1
51,Barcode World,,48CA0EE1,2,Licensed Japan,69,0,H,131072,67898319,8192,0,262144,407F50E9,0,0,1,,,24
52,,,BF7F54B4,2,Licensed Japan,4,0,H,262144,FBD87B3E,8192,0,131072,B0AD7E0B,0,0,1,,,1
53,Baseball Star: Mezase Sankanou,,AE5C3D94,2,Licensed Japan,1,0,H,131072,479ECFB6,8192,0,131072,7EEC68B9,0,0,1,,,1
54,Baseball,,78A48B23,2,Licensed Japan,0,0,H,16384,D18A3DDE,0,0,8192,C27EEF20,0,0,0,,,1
55,Batsu & Terii: Makyou no Tetsujin Race,,F989296C,2,Licensed Japan,2,2,V,131072,F989296C,0,0,0,,0,8192,0,,,1
56,Batman,,4D7859A9,2,Licensed Japan,69,0,H,131072,094AFAB5,0,0,131072,F3B41C18,0,0,0,,,1
57,,,83EA7B04,2,Licensed Japan,4,0,H,524288,83EA7B04,8192,0,0,,0,8192,1,,,1
58,Battle City,,7E053E64,2,Licensed Japan,0,0,H,16384,912D82C5,0,0,8192,6E32D231,0,0,0,,,1
59,Battle Fleet,,B5FF71AB,2,Licensed Japan,19,2,H,131072,3296FF7A,0,0,131072,4C5E3B12,0,0,1,,,1
60,Battle Formula,,2B4D80AE,2,Licensed Japan,4,0,H,131072,3BE27FCE,0,0,131072,9208079D,0,0,0,,,1
61,Battle Stadium: Senbatsu Pro Yakyuu,,61A852EA,2,Licensed Japan,1,0,H,131072,F18180CB,8192,0,131072,F06451BA,0,0,1,,,34
62,Battle Storm,,8E373118,2,Licensed Japan,1,0,H,131072,88739ADF,0,8192,131072,F957A5E7,0,0,0,,,1
63,Battletoads,,9806CB84,2,Licensed Japan,7,2,H,262144,9806CB84,0,0,0,,0,8192,0,,,1
64,Be-Bop High School: Koukousei Gokuraku Densetsu,,2BFB1186,2,Licensed Japan,1,0,H,131072,190A3E11,8192,0,131072,35560AFE,0,0,1,,,1
65,The Best Play Pro Yakyuu '90,,974E8840,2,Licensed Japan,1,0,H,262144,974E8840,8192,0,0,,0,8192,1,,,33
66,Best Play Pro Yakyuu,,E19293A2,2,Licensed Japan,1,0,H,131072,E792DE94,8192,0,32768,13DE672A,0,0,1,,,33
67,The Best Play Pro Yakyuu II,,C2EF3422,2,Licensed Japan,1,0,H,262144,C2EF3422,8192,0,0,,0,8192,1,,,33
68,,,B8747ABF,2,Licensed Japan,1,0,H,262144,B8747ABF,32768,0,0,,0,8192,1,,,33
69,The Best Play Pro Yakyuu Special,,C3DE7C69,2,Licensed Japan,1,0,H,262144,C3DE7C69,32768,0,0,,0,8192,1,,,33
70,Best Play Pro Yakyuu,,3BBFF3A6,2,Licensed Japan,1,0,H,131072,F79D684A,8192,0,32768,13DE672A,0,0,1,,,33
71,,,A1A33B85,2,Licensed Japan,1,0,H,131072,41482DA3,8192,0,131072,3EF776BD,0,0,1,,,33
72,Best Keiba: Derby Stallion,,83EAF3B1,2,Licensed Japan,1,0,H,131072,9C94A0EC,8192,0,131072,3EF776BD,0,0,1,,,33
73,Binary Land,,F5F435B1,2,Licensed Japan,0,0,H,16384,0C5C353A,0,0,8192,DC79323C,0,0,0,,,1
74,Bio Miracle Bokutte Upa,,6DC28B5A,2,Licensed Japan,25,1,H,131072,0BBD85FF,0,0,131072,B8168EFA,0,0,0,,,1
75,Bio Senshi Dan: Increaser tono Tatakai,,EC40E71B,2,Licensed Japan,140,0,V,131072,FA6580E6,0,0,131072,ABA17DF7,0,0,0,,,1
76,Bird Week,,A8A9B982,2,Licensed Japan,185,7,V,16384,2A629F7D,0,0,8192,970A934E,0,0,0,,,1
77,Stack-Up,,DF67DAA1,6,Licensed Japan,0,0,H,32768,4EE735C1,0,0,8192,41F4B527,0,0,0,,,46
78,Blodia Land: Puzzle Quest,,008E2D30,2,Licensed Japan,1,0,H,131072,9E4573D5,0,0,131072,192B916C,0,0,0,,,1
79,Bloody Warriors: Shan-Go no Gyakushuu,,391AA1B8,2,Licensed Japan,1,0,H,262144,391AA1B8,8192,0,0,,0,8192,1,,,1
